Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Afghanistan,AFG,..,..,..,82.9104614257812,87.2533264160156,88.7355194091797,86.1755218505859,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Albania,ALB,..,..,98.7887878417969,99.5973587036133,106.449691772461,102.894180297852,98.717529296875,99.2719268798828,97.2184371948242,101.176277160645,95.1351470947266,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Algeria,DZA,81.423957824707,82.3719024658203,98.1254730224609,100.489837646484,102.320610046387,102.68798828125,99.7298889160156,102.240936279297,99.7526779174805,94.7113876342773,99.678840637207,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Andorra,AND,..,..,66.0949935913086,68.4967269897461,65.8163299560547,66.7091827392578,64.2213592529297,62.7099685668945,62.0689697265625,..,69.3333282470703,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Angola,AGO,..,..,..,..,..,..,..,..,59.6232604980469,61.0302848815918,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Antigua and Barbuda,ATG,..,..,100.388198852539,102.687744140625,107.80876159668,104.444442749023,104.976669311523,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Argentina,ARG,..,99.7241821289062,106.053131103516,106.544448852539,101.581809997559,100.281806945801,100.38289642334,103.837791442871,105.479530334473,103.231628417969,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Armenia,ARM,..,..,94.2263793945312,105.009422302246,102.763427734375,100.23706817627,97.2270965576172,101.986747741699,100.631843566895,92.1473693847656,92.5063171386719,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Aruba,ABW,..,87.6526489257812,..,..,..,98.0972518920898,108.233528137207,103.185188293457,100.936767578125,95.0197601318359,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Austria,AUT,..,..,99.3965225219727,97.1509704589844,98.6491775512695,97.7539825439453,99.4589767456055,97.6123962402344,99.8165130615234,97.1591720581055,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Azerbaijan,AZE,..,89.5135116577148,103.280212402344,111.301910400391,107.172172546387,100.219947814941,100.383338928223,98.5337295532227,96.5635528564453,99.7032775878906,96.2334136962891,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bahrain,BHR,..,84.368293762207,99.3720779418945,100.38671875,99.9090576171875,98.9089508056641,99.6566772460938,..,..,92.9442291259766,89.368766784668,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bangladesh,BGD,..,..,..,..,..,..,..,..,120.082885742188,107.697937011719,108.210327148438,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Barbados,BRB,..,97.8817672729492,..,..,..,86.7227783203125,82.1641235351562,94.0690002441406,100.244201660156,91.7237091064453,96.7363815307617,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Belarus,BLR,88.5965423583984,103.682693481445,94.0976409912109,94.376838684082,95.6138229370117,96.756591796875,99.1110763549805,95.6100616455078,93.5405120849609,93.2138977050781,92.6165313720703,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Belize,BLZ,..,98.5516815185547,105.614219665527,105.759300231934,102.703048706055,104.474479675293,102.765281677246,105.195671081543,112.92658996582,105.755889892578,94.3330688476562,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Benin,BEN,18.2962799072266,36.3207397460938,78.0327072143555,77.419189453125,..,..,61.7928314208984,60.2596817016602,70.7910232543945,64.5733337402344,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bermuda,BMU,..,..,104.99195098877,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bhutan,BTN,..,54.8527603149414,94.7904281616211,96.6217575073242,94.9668121337891,84.5854797363281,75.7329788208008,82.713996887207,90.5886001586914,78.2863311767578,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bolivia,BOL,..,..,89.5214462280273,90.0554275512695,91.360710144043,94.1732788085938,90.8282089233398,92.1121826171875,..,96.5441131591797,96.2025909423828,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bosnia and Herzegovina,BIH,..,..,91.679443359375,90.8496475219727,90.4990997314453,88.4528198242188,91.3700790405273,90.1913833618164,88.8229522705078,87.0107116699219,86.3567733764648,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Botswana,BWA,90.6565704345703,87.9329528808594,..,..,..,..,..,..,..,90.9643859863281,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,British Virgin Islands,VGB,..,109.248550415039,105.210922241211,92.074592590332,90.7657699584961,73.1377029418945,69.1144714355469,74.2393493652344,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Brunei Darussalam,BRN,..,100.130722045898,99.8243560791016,104.244506835938,103.267280578613,102.325584411621,94.3204574584961,100.352867126465,..,..,96.1914520263672,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bulgaria,BGR,102.763816833496,95.8230667114258,99.57666015625,98.1427536010742,98.9449234008789,97.0378875732422,97.1262664794922,97.7003631591797,94.2598114013672,95.7139129638672,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Burkina Faso,BFA,19.1389198303223,23.8950500488281,60.7178802490234,60.3090896606445,61.645149230957,62.8463706970215,61.8211288452148,62.0456809997559,63.8423805236816,58.3837013244629,51.733829498291,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Burundi,BDI,38.5887718200684,25.1364498138428,62.0943412780762,64.0318298339844,63.2770881652832,57.2230911254883,53.330379486084,49.1959190368652,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cabo Verde,CPV,51.3860893249512,101.499183654785,94.8530120849609,89.9007110595703,83.4914398193359,81.7538375854492,93.7569198608398,85.5104904174805,87.521240234375,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cambodia,KHM,..,..,92.1525573730469,89.5325317382812,88.3689498901367,88.3711166381836,91.9802093505859,94.9092788696289,94.6577606201172,90.7002563476562,89.880615234375,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cameroon,CMR,56.7356414794922,50.3857307434082,74.5130615234375,73.3813705444336,68.2125701904297,64.431770324707,65.4423599243164,66.4576873779297,68.7343215942383,69.4347381591797,71.0805587768555,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Canada,CAN,..,98.2629928588867,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cayman Islands,CYM,..,101.886787414551,..,..,..,110.091743469238,100,..,101.498641967773,97.4587020874023,94.1735992431641,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Central African Republic,CAF,31.1846294403076,..,..,36.9948997497559,48.7285652160645,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Chad,TCD,16.5853404998779,22.4082298278809,38.9475402832031,42.0207710266113,37.8997802734375,40.4090385437012,..,..,43.5296287536621,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Chile,CHL,..,..,97.77294921875,98.3978424072266,98.1549530029297,98.1518325805664,97.4453201293945,97.9685821533203,99.2180786132812,100.269378662109,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,China,CHN,106.381492614746,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Colombia,COL,76.8620910644531,100.224639892578,102.409233093262,103.139930725098,106.373252868652,105.578002929688,103.543678283691,99.6276016235352,99.1944732666016,97.1171035766602,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Comoros,COM,..,..,..,..,81.4090423583984,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,"Congo, Dem. Rep.",COD,..,..,67.4965896606445,..,..,..,..,78.7289962768555,82.6475601196289,..,76.9597015380859,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,"Congo, Rep.",COG,59.7606506347656,..,70.3246002197266,..,..,65.1861267089844,..,..,..,..,71.8326110839844,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Costa Rica,CRI,74.6537933349609,88.6959381103516,95.0925064086914,94.5781478881836,94.1781234741211,95.6204299926758,96.4939422607422,96.7528686523438,99.0802307128906,100.99577331543,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cote d'Ivoire,CIV,39.5466194152832,42.879810333252,58.0733604431152,61.3673782348633,67.6764907836914,70.0334701538086,73.4945068359375,75.5859832763672,73.7053680419922,68.5947036743164,80.2278900146484,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Croatia,HRV,..,..,101.075813293457,97.5143585205078,98.413459777832,100.778800964355,99.4307022094727,100.528030395508,98.0124893188477,100.281730651855,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cuba,CUB,95.2527084350586,98.2687225341797,95.6020126342773,94.9306030273438,95.2266311645508,90.7940368652344,90.4958190917969,94.6259384155273,96.6347579956055,92.4178771972656,92.6119079589844,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cyprus,CYP,..,97.6595001220703,96.8190612792969,98.4673919677734,101.269729614258,101.87670135498,102.545501708984,100.368499755859,99.9796371459961,99.3734512329102,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Czechia,CZE,..,101.716598510742,97.0245971679688,97.6774368286133,97.2427291870117,93.6948089599609,95.833740234375,96.695198059082,101.116600036621,103.109962463379,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Denmark,DNK,99.7509002685547,99.9982986450195,99.5803298950195,101.488136291504,101.684516906738,100.413879394531,100.630348205566,99.7000274658203,99.6760330200195,99.8858795166016,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Dominica,DMA,..,112.710006713867,96.6850814819336,101.209297180176,..,..,82.91015625,..,85.6596603393555,84.4064407348633,89.2063522338867,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Dominican Republic,DOM,..,78.3414611816406,99.6948928833008,99.4304962158203,96.0952301025391,93.7769317626953,93.9661712646484,97.0056610107422,87.7265167236328,89.4886322021484,85.0387496948242,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Ecuador,ECU,..,94.1933670043945,99.2807464599609,96.7253570556641,98.938720703125,98.3765182495117,95.771598815918,95.3761825561523,93.9406814575195,99.4666290283203,100.199676513672,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,"Egypt, Arab Rep.",EGY,..,89.4921264648438,..,88.0339202880859,87.4164962768555,90.6235885620117,92.8502197265625,96.5726165771484,97.4728698730469,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,El Salvador,SLV,..,86.0596694946289,92.7768096923828,92.1429214477539,91.6084136962891,89.7590408325195,..,83.1518020629883,83.8425521850586,79.818000793457,80.9585800170898,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Equatorial Guinea,GNQ,..,36.9221382141113,39.0611000061035,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Eritrea,ERI,..,58.1596984863281,57.4330787658691,..,63.7134399414062,62.929759979248,59.4557113647461,..,..,56.6654586791992,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Estonia,EST,..,97.4906387329102,97.0932998657227,97.9379806518555,96.3807678222656,96.5968170166016,97.2760772705078,95.801399230957,98.2262268066406,98.5223922729492,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Eswatini,SWZ,62.3174896240234,64.9678497314453,93.1901626586914,100.106567382812,101.585388183594,101.640510559082,98.0370101928711,..,..,..,90.1588668823242,..
